Code,buying value,average value,selling value,date
RUB,13.86798,14.006645,14.145311,12/15/2023
SAR,331.593121,334.908718,338.224314,12/15/2023
SDG,2.071862,2.092579,2.113295,12/15/2023
SEK,121.168176,122.379735,123.591294,12/15/2023
SGD,936.279578,945.641428,955.003278,12/15/2023
SSP,1.168105,1.179785,1.191465,12/15/2023
SZL,67.801085,68.479027,69.15697,12/15/2023
TRY,42.837353,43.265683,43.694014,12/15/2023
TZS,0.494485,0.49943,0.504374,12/15/2023
UGX,0.329657,0.332953,0.336249,12/15/2023
USD,"1,243.99","1,256.43","1,268.87",12/15/2023
XAF,2.059422,2.080014,2.100607,12/15/2023
XDR,"1,665.15","1,681.80","1,698.45",12/15/2023
XOF,2.063776,2.084412,2.105048,12/15/2023
ZAR,67.801085,68.479027,69.15697,12/15/2023
ZMW,50.3131,50.81618,51.31926,12/15/2023
ZWD,3.278531,3.311313,3.344095,12/15/2023
AUD,834.564235,842.909035,851.253834,12/14/2023
BIF,0.436268,0.44063,0.444992,12/14/2023
CAD,922.63503,931.860449,941.085867,12/14/2023
CHF,"1,431.85","1,446.17","1,460.49",12/14/2023
CNH,174.050363,175.790691,177.531019,12/14/2023
CNY,174.229966,175.97209,177.714214,12/14/2023
DKK,181.664542,183.481004,185.297466,12/14/2023
EGP,40.224268,40.626471,41.028673,12/14/2023
ETB,22.102373,22.323375,22.544376,12/14/2023
EUR,"1,354.42","1,367.96","1,381.50",12/14/2023
GBP,"1,570.38","1,586.08","1,601.78",12/14/2023
GHS,103.320283,104.353381,105.38648,12/14/2023
GNF,0.144801,0.146249,0.147697,12/14/2023
HKD,159.197369,160.789182,162.380995,12/14/2023
ILS,338.670007,342.056365,345.442723,12/14/2023
INR,14.913897,15.063021,15.212145,12/14/2023
JPY,8.784396,8.872231,8.960066,12/14/2023
KES,8.10265,8.183668,8.264686,12/14/2023
KMF,2.720149,2.747347,2.774546,12/14/2023
KRW,0.958298,0.96788,0.977462,12/14/2023
KWD,"4,040.01","4,080.40","4,120.80",12/14/2023
LSL,66.734687,67.401967,68.069246,12/14/2023
LYD,257.217184,259.789096,262.361008,12/14/2023
MAD,122.71618,123.943217,125.170255,12/14/2023
MRO,3.477092,3.511859,3.546627,12/14/2023
MUR,28.236225,28.518558,28.800892,12/14/2023
MWK,0.738299,0.745682,0.753064,12/14/2023
MZN,19.457422,19.651976,19.846531,12/14/2023
NGN,1.548067,1.563546,1.579025,12/14/2023
NOK,115.722843,116.879955,118.037066,12/14/2023
PLN,314.841207,317.989301,321.137395,12/14/2023
QAR,340.944566,344.353667,347.762769,12/14/2023
RUB,13.901532,14.040533,14.179535,12/14/2023
SAR,331.350402,334.663572,337.976741,12/14/2023
SDG,2.070097,2.090796,2.111495,12/14/2023
SEK,120.966136,122.175676,123.385215,12/14/2023
SGD,934.602566,943.947647,953.292729,12/14/2023
SSP,1.167731,1.179407,1.191083,12/14/2023
SZL,66.734687,67.401967,68.069246,12/14/2023
TRY,42.827582,43.255814,43.684047,12/14/2023
TZS,0.495928,0.500887,0.505846,12/14/2023
UGX,0.328133,0.331414,0.334695,12/14/2023
USD,"1,242.93","1,255.36","1,267.78",12/14/2023
XAF,2.021623,2.041837,2.062051,12/14/2023
XDR,"1,650.31","1,666.81","1,683.31",12/14/2023
XOF,2.043996,2.064434,2.084871,12/14/2023
ZAR,66.726608,67.393807,68.061005,12/14/2023
ZMW,50.040295,50.540647,51.041,12/14/2023
ZWD,3.275738,3.308492,3.341246,12/14/2023
AED,338.44193,341.826007,345.210085,12/14/2023
AOA,1.470384,1.485087,1.499789,12/14/2023
AED,338.281274,341.663745,345.046216,12/13/2023
AOA,1.470848,1.485555,1.500262,12/13/2023
AUD,814.618487,822.763849,830.909211,12/13/2023
BIF,0.436037,0.440397,0.444757,12/13/2023
CAD,913.903803,923.041918,932.180033,12/13/2023
CHF,"1,418.92","1,433.11","1,447.30",12/13/2023
CNH,172.603464,174.329325,176.055185,12/13/2023
CNY,172.930181,174.659309,176.388436,12/13/2023
DKK,179.771983,181.569521,183.367059,12/13/2023
EGP,40.333398,40.736691,41.139984,12/13/2023
ETB,22.094391,22.315313,22.536234,12/13/2023
EUR,"1,340.41","1,353.81","1,367.21",12/13/2023
GBP,"1,559.86","1,575.45","1,591.05",12/13/2023
GHS,103.265549,104.2981,105.330651,12/13/2023
